"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen"
"Ind15";8.191;"plast";30;13;"2";2;0.83;259;2;0.00766283524904215;"50-30-83";0.285297872340425
"Ind16";9.697;"plast";19;2;"2";2;0.5;625;57;0.0835777126099707;"50-30-83";-0.0447021276595745
"Ind16";9.594;"plast";21;4;"2";2;0.5;481;63;0.115808823529412;"50-30-83";-0.0447021276595745
"Ind16";9.396;"plast";22;5;"2";2;0.5;352;158;0.309803921568627;"50-30-83";-0.0447021276595745
"Ind16";9.701;"plast";23;6;"2";2;0.3;726;6;0.00819672131147541;"50-30-83";-0.244702127659574
"Ind16";9.48;"plast";24;7;"2";2;0.3;440;651;0.596700274977085;"50-30-83";-0.244702127659574
"Ind16";9.301;"plast";25;8;"2";2;0.3;455;127;0.218213058419244;"50-30-83";-0.244702127659574
"Ind16";9.013;"plast";26;9;"2";2;0.3;248;251;0.503006012024048;"50-30-83";-0.244702127659574
"Ind16";9.278;"plast";27;10;"2";2;0.83;346;4;0.0114285714285714;"50-30-83";0.285297872340425
"Ind16";8.89;"plast";28;11;"2";2;0.83;117;19;0.139705882352941;"50-30-83";0.285297872340425
"Ind16";8.806;"plast";29;12;"2";2;0.83;111;10;0.0826446280991736;"50-30-83";0.285297872340425
"Ind16";9.505;"plast";30;13;"2";2;0.83;288;6;0.0204081632653061;"50-30-83";0.285297872340425
"Ind17";9.013;"plast";19;2;"2";2;0.5;396;15;0.0364963503649635;"50-30-83";-0.0447021276595745
"Ind17";8.941;"plast";20;3;"2";2;0.5;527;25;0.0452898550724638;"50-30-83";-0.0447021276595745
"Ind17";8.699;"plast";22;5;"2";2;0.5;397;76;0.160676532769556;"50-30-83";-0.0447021276595745
"Ind17";9.142;"plast";23;6;"2";2;0.3;880;8;0.00900900900900901;"50-30-83";-0.244702127659574
"Ind17";9.076;"plast";24;7;"2";2;0.3;710;99;0.122373300370828;"50-30-83";-0.244702127659574
"Ind17";8.881;"plast";25;8;"2";2;0.3;665;32;0.0459110473457676;"50-30-83";-0.244702127659574
"Ind17";8.611;"plast";26;9;"2";2;0.3;380;72;0.15929203539823;"50-30-83";-0.244702127659574
"Ind17";8.926;"plast";27;10;"2";2;0.83;344;0;0;"50-30-83";0.285297872340425
"Ind17";8.419;"plast";29;12;"2";2;0.83;165;76;0.315352697095436;"50-30-83";0.285297872340425
"Ind17";8.36;"plast";30;13;"2";2;0.83;243;18;0.0689655172413793;"50-30-83";0.285297872340425
"Ind18";8.669;"plast";19;2;"2";2;0.5;454;8;0.0173160173160173;"50-30-83";-0.0447021276595745
"Ind18";8.618;"plast";20;3;"2";2;0.5;427;43;0.0914893617021277;"50-30-83";-0.0447021276595745
"Ind18";8.42;"plast";21;4;"2";2;0.5;435;11;0.0246636771300448;"50-30-83";-0.0447021276595745
"Ind18";8.361;"plast";22;5;"2";2;0.5;421;44;0.0946236559139785;"50-30-83";-0.0447021276595745
"Ind18";8.613;"plast";23;6;"2";2;0.3;980;138;0.123434704830054;"50-30-83";-0.244702127659574
"Ind18";8.435;"plast";24;7;"2";2;0.3;679;338;0.332350049164208;"50-30-83";-0.244702127659574
"Ind18";8.255;"plast";25;8;"2";2;0.3;485;171;0.260670731707317;"50-30-83";-0.244702127659574
"Ind18";8.377;"plast";27;10;"2";2;0.83;333;3;0.00892857142857143;"50-30-83";0.285297872340425
"Ind18";8.271;"plast";28;11;"2";2;0.83;303;63;0.172131147540984;"50-30-83";0.285297872340425
"Ind18";8.269;"plast";29;12;"2";2;0.83;322;6;0.0182926829268293;"50-30-83";0.285297872340425
"Ind18";8.263;"plast";30;13;"2";2;0.83;300;2;0.00662251655629139;"50-30-83";0.285297872340425
"Ind19";8.998;"plast";19;2;"2";2;0.5;587;226;0.277982779827798;"50-83-30";-0.0447021276595745
"Ind19";9.003;"plast";20;3;"2";2;0.5;435;114;0.207650273224044;"50-83-30";-0.0447021276595745
"Ind19";9.072;"plast";21;4;"2";2;0.5;596;109;0.154609929078014;"50-83-30";-0.0447021276595745
"Ind19";8.988;"plast";22;5;"2";2;0.5;499;48;0.0877513711151737;"50-83-30";-0.0447021276595745
"Ind19";9.287;"plast";23;6;"2";2;0.83;393;10;0.0248138957816377;"50-83-30";0.285297872340425
"Ind19";9.196;"plast";24;7;"2";2;0.83;377;58;0.133333333333333;"50-83-30";0.285297872340425
"Ind19";9.015;"plast";25;8;"2";2;0.83;221;11;0.0474137931034483;"50-83-30";0.285297872340425
"Ind19";8.91;"plast";26;9;"2";2;0.83;242;45;0.156794425087108;"50-83-30";0.285297872340425
