"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen";"predicted_failures";"predicted_sampling";"slope"
"Ind11";8.999;"plast";6;6;1;1;0.83;314;28;0.0818713450292398;"50-83-30";0.285297872340425;42.3958246443023;0.118957130562949;-3.11786120643802
"Ind11";8.713;"plast";7;7;1;1;0.83;285;75;0.208333333333333;"50-83-30";0.285297872340425;45.6619274490597;0.138092485582859;-3.11786120643802
"Ind11";8.513;"plast";9;9;1;1;0.83;260;32;0.10958904109589;"50-83-30";0.285297872340425;37.6563649684361;0.126509523733615;-3.11786120643802
"Ind11";8.648;"plast";10;10;1;1;0.3;736;257;0.258811681772407;"50-83-30";-0.244702127659574;348.469282384509;0.321327019625952;-3.11786120643802
"Ind11";8.372;"plast";11;11;1;1;0.3;503;705;0.583609271523179;"50-83-30";-0.244702127659574;430.512208503592;0.461174695501516;-3.11786120643802
"Ind11";8.067;"plast";12;12;1;1;0.3;316;256;0.447552447552448;"50-83-30";-0.244702127659574;207.3753438981;0.396226811820305;-3.11786120643802
"Ind11";7.928;"plast";13;13;1;1;0.3;374;162;0.302238805970149;"50-83-30";-0.244702127659574;195.850599728934;0.343687625883163;-3.11786120643802
"Ind12";8.462;"plast";2;2;1;1;0.5;445;102;0.186471663619744;"50-83-30";-0.0447021276595745;38.2225832895397;0.0790993314702706;-2.43696798875164
"Ind12";8.302;"plast";3;3;1;1;0.5;466;10;0.0210084033613445;"50-83-30";-0.0447021276595745;33.7324516362802;0.0675010228489858;-2.43696798875164
"Ind12";8.172;"plast";4;4;1;1;0.5;501;27;0.0511363636363636;"50-83-30";-0.0447021276595745;37.8597539479699;0.070259012053859;-2.43696798875164
"Ind12";8.251;"plast";5;5;1;1;0.5;469;20;0.0408997955010225;"50-83-30";-0.0447021276595745;34.8126344902945;0.069098375282935;-2.43696798875164
"Ind12";8.285;"plast";6;6;1;1;0.83;345;0;0;"50-83-30";0.285297872340425;12.5642112446977;0.0351383355760385;-2.43696798875164
"Ind12";8.303;"plast";7;7;1;1;0.83;298;1;0.00334448160535117;"50-83-30";0.285297872340425;10.8701902194378;0.0351933937416074;-2.43696798875164
"Ind12";8.065;"plast";9;9;1;1;0.83;270;7;0.0252707581227437;"50-83-30";0.285297872340425;10.3088654294998;0.0367768083742345;-2.43696798875164
"Ind12";8.042;"plast";10;10;1;1;0.3;838;7;0.00828402366863905;"50-83-30";-0.244702127659574;92.8977664676444;0.0997937365562186;-2.43696798875164
